Genome,Annotation_method,type,start,end,ID,eC_number,Name,dbxref,gene,inference,locus_tag,product
Brevi_862_7_19,Prodigal:2.6,CDS,44264,45538,ID=LBLIGOHA_05439,Name=mntH_4,dbxref=COG:COG1914,gene=mntH_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIZ5,locus_tag=LBLIGOHA_05439,product=Divalent metal cation transporter MntH,NA
Brevi_862_7_22,Prodigal:2.6,CDS,4337,5194,ID=LBLIGOHA_05519,Name=tagG_2,dbxref=COG:COG1682,gene=tagG_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=LBLIGOHA_05519,product=Teichoic acid translocation permease protein TagG,NA
Brevi_862_7_22,Prodigal:2.6,CDS,16792,18078,ID=LBLIGOHA_05531,Name=rarA_2,dbxref=COG:COG2256,gene=rarA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=LBLIGOHA_05531,product=Replication-associated recombination protein A,NA
Brevi_862_7_23,Aragorn:1.2,tRNA,139505,139581,ID=LBLIGOHA_05683,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_05683,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_862_7_27,Prodigal:2.6,CDS,52265,53032,ID=LBLIGOHA_05954,eC_number=3.1.1.24,Name=catD_4,dbxref=COG:COG0596,gene=catD_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=LBLIGOHA_05954,product=3-oxoadipate enol-lactonase 2
Brevi_862_7_31,Prodigal:2.6,CDS,15872,16294,ID=LBLIGOHA_06010,eC_number=2.-.-.-,Name=moaE2_5,dbxref=COG:COG0314,gene=moaE2_5,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=LBLIGOHA_06010,product=Molybdopterin synthase catalytic subunit 2
Brevi_862_7_31,Aragorn:1.2,tRNA,32536,32612,ID=LBLIGOHA_06027,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_06027,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_862_7_34,Prodigal:2.6,CDS,71141,71542,ID=LBLIGOHA_06203,Name=glbO_2,dbxref=COG:COG2346,gene=glbO_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=LBLIGOHA_06203,product=Group 2 truncated hemoglobin GlbO,NA
Brevi_862_7_34,Aragorn:1.2,tRNA,152165,152239,ID=LBLIGOHA_06281,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_06281,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_862_7_34,Aragorn:1.2,tRNA,152454,152528,ID=LBLIGOHA_06282,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_06282,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_862_7_36,Prodigal:2.6,CDS,9109,9408,ID=LBLIGOHA_06499,eC_number=5.3.3.4,Name=catC,dbxref=COG:COG4829,gene=catC,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P80573,locus_tag=LBLIGOHA_06499,product=Muconolactone Delta-isomerase
Brevi_862_7_44,Prodigal:2.6,CDS,36758,37672,ID=LBLIGOHA_06743,eC_number=2.8.3.6,Name=catI,gene=catI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF3,locus_tag=LBLIGOHA_06743,product=3-oxoadipate CoA-transferase subunit A,NA
Brevi_862_7_44,Prodigal:2.6,CDS,37669,38481,ID=LBLIGOHA_06744,eC_number=2.8.3.6,Name=catJ,gene=catJ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF2,locus_tag=LBLIGOHA_06744,product=3-oxoadipate CoA-transferase subunit B,NA
Brevi_862_7_55,Prodigal:2.6,CDS,49144,50757,ID=LBLIGOHA_06945,Name=pucR,dbxref=COG:COG2508,gene=pucR,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=LBLIGOHA_06945,product=Purine catabolism regulatory protein,NA
Brevi_862_7_65,Prodigal:2.6,CDS,21335,22474,ID=LBLIGOHA_07165,eC_number=2.1.1.37,Name=ydiO,dbxref=COG:COG0270,gene=ydiO,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34939,locus_tag=LBLIGOHA_07165,product=putative BsuMI modification methylase subunit YdiO
SEQ_862_5,Prodigal:2.6,CDS,75782,76627,ID=LBLIGOHA_07507,Name=tagG_3,dbxref=COG:COG1682,gene=tagG_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=LBLIGOHA_07507,product=Teichoic acid translocation permease protein TagG,NA
SEQ_862_5,Prodigal:2.6,CDS,225559,226332,ID=LBLIGOHA_07655,Name=dnaC_1,dbxref=COG:COG1484,gene=dnaC_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEF0,locus_tag=LBLIGOHA_07655,product=DNA replication protein DnaC,NA
SEQ_862_5,Prodigal:2.6,CDS,405660,406031,ID=LBLIGOHA_07861,Name=yjbI,dbxref=COG:COG2346,gene=yjbI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31607,locus_tag=LBLIGOHA_07861,product=Group 2 truncated hemoglobin YjbI,NA
SEQ_862_5,Prodigal:2.6,CDS,578178,578972,ID=LBLIGOHA_08026,eC_number=1.13.11.2,Name=catE_3,dbxref=COG:COG2514,gene=catE_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=LBLIGOHA_08026,product=Catechol-2%2C3-dioxygenase
SEQ_862_5_2,Prodigal:2.6,CDS,18010,18822,ID=LBLIGOHA_08071,eC_number=1.13.11.2,Name=catE_4,dbxref=COG:COG2514,gene=catE_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=LBLIGOHA_08071,product=Catechol-2%2C3-dioxygenase
SEQ_862_5_2,Prodigal:2.6,CDS,284056,284508,ID=LBLIGOHA_08321,eC_number=2.8.1.12,Name=moaE,gene=moaE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P65401,locus_tag=LBLIGOHA_08321,product=Molybdopterin synthase catalytic subunit,NA
SEQ_862_5_3,Prodigal:2.6,CDS,229351,230142,ID=LBLIGOHA_08595,Name=nirQ,dbxref=COG:COG0714,gene=nirQ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02441,locus_tag=LBLIGOHA_08595,product=Denitrification regulatory protein NirQ,NA
SEQ_862_5_3,Prodigal:2.6,CDS,275079,275765,ID=LBLIGOHA_08642,Name=dnaD,dbxref=COG:COG3935,gene=dnaD,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P39787,locus_tag=LBLIGOHA_08642,product=DNA replication protein DnaD,NA
SEQ_862_5_3,Prodigal:2.6,CDS,488226,489620,ID=LBLIGOHA_08852,Name=dnaB_3,dbxref=COG:COG3611,gene=dnaB_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07908,locus_tag=LBLIGOHA_08852,product=Replication initiation and membrane attachment protein,NA
SEQ_862_5_3,Prodigal:2.6,CDS,644795,646039,ID=LBLIGOHA_09007,eC_number=3.6.4.12,Name=dnaB_4,dbxref=COG:COG0305,gene=dnaB_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ACB0,locus_tag=LBLIGOHA_09007,product=Replicative DNA helicase
SEQ_862_5_3,Aragorn:1.2,tRNA,657045,657116,ID=LBLIGOHA_09034,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_09034,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_862_5_3,Aragorn:1.2,tRNA,691886,691957,ID=LBLIGOHA_09079,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_09079,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_862_5_3,Aragorn:1.2,tRNA,692211,692284,ID=LBLIGOHA_09082,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_09082,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_862_5_3,Aragorn:1.2,tRNA,692311,692385,ID=LBLIGOHA_09083,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_09083,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_862_5_5,Prodigal:2.6,CDS,27962,29839,ID=LBLIGOHA_09176,Name=mnmG,gene=mnmG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P64230,locus_tag=LBLIGOHA_09176,product=tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,NA,NA
SEQ_862_5_5,Prodigal:2.6,CDS,29856,31238,ID=LBLIGOHA_09177,eC_number=3.6.-.-,Name=mnmE_2,dbxref=COG:COG0486,gene=mnmE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8YN91,locus_tag=LBLIGOHA_09177,product=tRNA modification GTPase MnmE
SEQ_862_5_5,Prodigal:2.6,CDS,32774,34141,ID=LBLIGOHA_09180,Name=dnaA_3,gene=dnaA_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P68866,locus_tag=LBLIGOHA_09180,product=Chromosomal replication initiator protein DnaA,NA,NA
SEQ_862_5_5,Prodigal:2.6,CDS,36275,37390,ID=LBLIGOHA_09182,Name=recF_3,dbxref=COG:COG1195,gene=recF_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=LBLIGOHA_09182,product=DNA replication and repair protein RecF,NA
SEQ_862_5_5,Prodigal:2.6,CDS,52780,54183,ID=LBLIGOHA_09194,eC_number=3.6.4.12,Name=dnaC_2,dbxref=COG:COG0305,gene=dnaC_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37469,locus_tag=LBLIGOHA_09194,product=Replicative DNA helicase
SEQ_862_5_6,Prodigal:2.6,CDS,20861,22099,ID=LBLIGOHA_09257,eC_number=2.1.1.37,Name=banIM,gene=banIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P19888,locus_tag=LBLIGOHA_09257,product=Modification methylase BanI,NA
SEQ_862_5_12,Prodigal:2.6,CDS,5508,6830,ID=LBLIGOHA_09504,Name=mntH_5,gene=mntH_5,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7,locus_tag=LBLIGOHA_09504,product=Divalent metal cation transporter MntH,NA,NA
SEQ_862_5_15,Prodigal:2.6,CDS,48652,49521,ID=LBLIGOHA_09681,Name=repE_1,gene=repE_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P03856,locus_tag=LBLIGOHA_09681,product=Replication initiation protein,NA,NA
SEQ_862_5_17,Prodigal:2.6,CDS,25308,26339,ID=LBLIGOHA_09735,eC_number=2.1.3.3,Name=arcB_3,gene=arcB_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P65602,locus_tag=LBLIGOHA_09735,product=Ornithine carbamoyltransferase%2C catabolic,NA
SEQ_862_5_21,Prodigal:2.6,CDS,65997,67220,ID=LBLIGOHA_09980,Name=mntH_6,dbxref=COG:COG1914,gene=mntH_6,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9RPF4,locus_tag=LBLIGOHA_09980,product=Divalent metal cation transporter MntH,NA
SEQ_862_5_30,Prodigal:2.6,CDS,869,1801,ID=LBLIGOHA_10189,Name=repD,gene=repD,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P03065,locus_tag=LBLIGOHA_10189,product=Replication initiation protein,NA,NA
SEQ_862_5_32,Prodigal:2.6,CDS,1259,2125,ID=LBLIGOHA_10201,Name=repE_2,gene=repE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P03856,locus_tag=LBLIGOHA_10201,product=Replication initiation protein,NA,NA
Brachy_876_9,Prodigal:2.6,CDS,5855,7180,ID=IIFCLKFN_00007,Name=rarA_1,dbxref=COG:COG2256,gene=rarA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=IIFCLKFN_00007,product=Replication-associated recombination protein A,NA
Brachy_876_9,Prodigal:2.6,CDS,56112,57824,ID=IIFCLKFN_00051,eC_number=3.6.-.-,Name=mnmE_1,gene=mnmE_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00379,locus_tag=IIFCLKFN_00051,product=tRNA modification GTPase MnmE,NA
Brachy_876_9_6,Aragorn:1.2,tRNA,16728,16802,ID=IIFCLKFN_00278,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_00278,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_876_9_6,Prodigal:2.6,CDS,71206,72153,ID=IIFCLKFN_00321,Name=tagG_1,dbxref=COG:COG1682,gene=tagG_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=IIFCLKFN_00321,product=Teichoic acid translocation permease protein TagG,NA
Brachy_876_9_8,Prodigal:2.6,CDS,272170,272658,ID=IIFCLKFN_00625,eC_number=2.-.-.-,Name=moaE2_3,dbxref=COG:COG0314,gene=moaE2_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=IIFCLKFN_00625,product=Molybdopterin synthase catalytic subunit 2
Brachy_876_9_18,Aragorn:1.2,tRNA,5020,5094,ID=IIFCLKFN_01247,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_01247,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_876_9_18,Prodigal:2.6,CDS,170922,172268,ID=IIFCLKFN_01390,eC_number=3.1.1.24,Name=catD_1,dbxref=COG:COG0596,gene=catD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=IIFCLKFN_01390,product=3-oxoadipate enol-lactonase 2
Brachy_876_9_19,Prodigal:2.6,CDS,90022,90972,ID=IIFCLKFN_01494,eC_number=1.13.11.2,Name=catE_1,dbxref=COG:COG2514,gene=catE_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=IIFCLKFN_01494,product=Catechol-2%2C3-dioxygenase
Brachy_876_9_20,Prodigal:2.6,CDS,4386,4826,ID=IIFCLKFN_01569,Name=glbO_1,dbxref=COG:COG2346,gene=glbO_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=IIFCLKFN_01569,product=Group 2 truncated hemoglobin GlbO,NA
Brachy_876_9_20,Prodigal:2.6,CDS,197290,198201,ID=IIFCLKFN_01742,Name=czcD_1,gene=czcD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13512,locus_tag=IIFCLKFN_01742,product=Metal cation efflux system protein CzcD,NA,NA
Brachy_876_9_21,Prodigal:2.6,CDS,71774,73180,ID=IIFCLKFN_01875,eC_number=3.6.4.12,Name=dnaB_1,dbxref=COG:COG0305,gene=dnaB_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=IIFCLKFN_01875,product=Replicative DNA helicase
Brachy_876_9_25,Aragorn:1.2,tRNA,165439,165515,ID=IIFCLKFN_02276,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_02276,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_876_9_28,Aragorn:1.2,tRNA,145613,145688,ID=IIFCLKFN_02474,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_02474,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_876_9_46,Prodigal:2.6,CDS,8356,9780,ID=IIFCLKFN_03153,Name=mntH_1,gene=mntH_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00221,locus_tag=IIFCLKFN_03153,product=Divalent metal cation transporter MntH,NA,NA
Brachy_876_9_46,Prodigal:2.6,CDS,82115,83812,ID=IIFCLKFN_03221,Name=dnaA_1,gene=dnaA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZH75,locus_tag=IIFCLKFN_03221,product=Chromosomal replication initiator protein DnaA,NA,NA
Brachy_876_9_46,Prodigal:2.6,CDS,85474,86739,ID=IIFCLKFN_03223,Name=recF_1,dbxref=COG:COG1195,gene=recF_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=IIFCLKFN_03223,product=DNA replication and repair protein RecF,NA
Brevi_876_7,Prodigal:2.6,CDS,81886,83499,ID=IIFCLKFN_03633,Name=pucR_1,dbxref=COG:COG2508,gene=pucR_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=IIFCLKFN_03633,product=Purine catabolism regulatory protein,NA
Brevi_876_7_3,Prodigal:2.6,CDS,90139,91410,ID=IIFCLKFN_03867,Name=pucR_2,dbxref=COG:COG2508,gene=pucR_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=IIFCLKFN_03867,product=Purine catabolism regulatory protein,NA
Brevi_876_7_3,Prodigal:2.6,CDS,100837,102147,ID=IIFCLKFN_03880,Name=mntH_2,dbxref=COG:COG1914,gene=mntH_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96593,locus_tag=IIFCLKFN_03880,product=Divalent metal cation transporter MntH,NA
Brevi_876_7_3,Prodigal:2.6,CDS,120922,122040,ID=IIFCLKFN_03903,eC_number=2.1.1.37,Name=hhaIM_1,gene=hhaIM_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05102,locus_tag=IIFCLKFN_03903,product=Modification methylase HhaI,NA
Brevi_876_7_3,Prodigal:2.6,CDS,191812,192681,ID=IIFCLKFN_03972,eC_number=1.13.11.-,Name=clcA,gene=clcA,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O67987,locus_tag=IIFCLKFN_03972,product=Chlorocatechol 1%2C2-dioxygenase,NA
Brevi_876_7_3,Prodigal:2.6,CDS,218919,220193,ID=IIFCLKFN_03998,Name=mntH_3,dbxref=COG:COG1914,gene=mntH_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIZ5,locus_tag=IIFCLKFN_03998,product=Divalent metal cation transporter MntH,NA
Brevi_876_7_3,Prodigal:2.6,CDS,326299,327642,ID=IIFCLKFN_04092,Name=rarA_2,dbxref=COG:COG2256,gene=rarA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=IIFCLKFN_04092,product=Replication-associated recombination protein A,NA
Brevi_876_7_3,Prodigal:2.6,CDS,343142,343999,ID=IIFCLKFN_04106,Name=tagG_2,dbxref=COG:COG1682,gene=tagG_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=IIFCLKFN_04106,product=Teichoic acid translocation permease protein TagG,NA
Brevi_876_7_3,Prodigal:2.6,CDS,365971,366852,ID=IIFCLKFN_04122,Name=tagG_3,dbxref=COG:COG1682,gene=tagG_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=IIFCLKFN_04122,product=Teichoic acid translocation permease protein TagG,NA
Brevi_876_7_4,Prodigal:2.6,CDS,29109,29408,ID=IIFCLKFN_04154,eC_number=5.3.3.4,Name=catC,dbxref=COG:COG4829,gene=catC,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P80573,locus_tag=IIFCLKFN_04154,product=Muconolactone Delta-isomerase
Brevi_876_7_4,Prodigal:2.6,CDS,88338,89636,ID=IIFCLKFN_04205,eC_number=3.1.1.24,Name=catD_2,dbxref=COG:COG0596,gene=catD_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=IIFCLKFN_04205,product=3-oxoadipate enol-lactonase 2
Brevi_876_7_4,Prodigal:2.6,CDS,91101,91673,ID=IIFCLKFN_04207,eC_number=1.13.11.3,Name=pcaG,dbxref=COG:COG3485,gene=pcaG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20371,locus_tag=IIFCLKFN_04207,product=Protocatechuate 3%2C4-dioxygenase alpha chain
Brevi_876_7_4,Prodigal:2.6,CDS,91666,92466,ID=IIFCLKFN_04208,eC_number=1.13.11.3,Name=pcaH,dbxref=COG:COG3485,gene=pcaH,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00437,locus_tag=IIFCLKFN_04208,product=Protocatechuate 3%2C4-dioxygenase beta chain
Brevi_876_7_4,Prodigal:2.6,CDS,142268,143749,ID=IIFCLKFN_04254,Name=hpcE,dbxref=COG:COG0179,gene=hpcE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37352,locus_tag=IIFCLKFN_04254,product=Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,NA
Brevi_876_7_4,Aragorn:1.2,tRNA,459061,459135,ID=IIFCLKFN_04554,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_04554,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_876_7_6,Prodigal:2.6,CDS,79348,79749,ID=IIFCLKFN_04770,Name=glbO_2,dbxref=COG:COG2346,gene=glbO_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=IIFCLKFN_04770,product=Group 2 truncated hemoglobin GlbO,NA
Brevi_876_7_6,Aragorn:1.2,tRNA,137255,137329,ID=IIFCLKFN_04826,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_04826,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_876_7_6,Aragorn:1.2,tRNA,137544,137618,ID=IIFCLKFN_04827,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_04827,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_876_7_6,Prodigal:2.6,CDS,198210,198977,ID=IIFCLKFN_04876,eC_number=3.1.1.24,Name=catD_3,dbxref=COG:COG0596,gene=catD_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=IIFCLKFN_04876,product=3-oxoadipate enol-lactonase 2
Brevi_876_7_8,Prodigal:2.6,CDS,174993,176540,ID=IIFCLKFN_05156,Name=rarA_3,dbxref=COG:COG2256,gene=rarA_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=IIFCLKFN_05156,product=Replication-associated recombination protein A,NA
Brevi_876_7_10,Prodigal:2.6,CDS,57012,58337,ID=IIFCLKFN_05325,Name=mntH_4,gene=mntH_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7,locus_tag=IIFCLKFN_05325,product=Divalent metal cation transporter MntH,NA,NA
Brevi_876_7_10,Prodigal:2.6,CDS,70455,71993,ID=IIFCLKFN_05334,eC_number=1.8.5.-,Name=msrP_1,dbxref=COG:COG2041,gene=msrP_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=IIFCLKFN_05334,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_876_7_10,Prodigal:2.6,CDS,109852,110805,ID=IIFCLKFN_05366,eC_number=1.13.11.2,Name=catE_2,dbxref=COG:COG2514,gene=catE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=IIFCLKFN_05366,product=Catechol-2%2C3-dioxygenase
Brevi_876_7_12,Prodigal:2.6,CDS,164628,165092,ID=IIFCLKFN_05519,eC_number=1.-.-.-,Name=catD_4,dbxref=COG:COG2259,gene=catD_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54720,locus_tag=IIFCLKFN_05519,product=Putative oxidoreductase CatD
Brevi_876_7_13,Prodigal:2.6,CDS,14165,15793,ID=IIFCLKFN_05714,eC_number=2.2.1.6,Name=budB,dbxref=COG:COG0028,gene=budB,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27696,locus_tag=IIFCLKFN_05714,product=Acetolactate synthase%2C catabolic
Brevi_876_7_13,Prodigal:2.6,CDS,380628,381719,ID=IIFCLKFN_06052,eC_number=2.1.1.37,Name=hhaIM_2,gene=hhaIM_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05102,locus_tag=IIFCLKFN_06052,product=Modification methylase HhaI,NA
Brevi_876_7_14,Prodigal:2.6,CDS,139512,140636,ID=IIFCLKFN_06191,Name=recF_2,dbxref=COG:COG1195,gene=recF_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=IIFCLKFN_06191,product=DNA replication and repair protein RecF,NA
Brevi_876_7_14,Prodigal:2.6,CDS,142317,143951,ID=IIFCLKFN_06193,Name=dnaA_2,dbxref=COG:COG0593,gene=dnaA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R7K1,locus_tag=IIFCLKFN_06193,product=Chromosomal replication initiator protein DnaA,NA
Brevi_876_7_14,Prodigal:2.6,CDS,183041,184528,ID=IIFCLKFN_06230,eC_number=3.6.4.12,Name=dnaB_2,dbxref=COG:COG0305,gene=dnaB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=IIFCLKFN_06230,product=Replicative DNA helicase
Brevi_876_7_16,Prodigal:2.6,CDS,67950,69533,ID=IIFCLKFN_06383,eC_number=1.8.5.-,Name=msrP_2,dbxref=COG:COG2041,gene=msrP_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=IIFCLKFN_06383,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_876_7_38,Prodigal:2.6,CDS,914,1828,ID=IIFCLKFN_07234,eC_number=2.8.3.6,Name=catI,gene=catI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF3,locus_tag=IIFCLKFN_07234,product=3-oxoadipate CoA-transferase subunit A,NA
Brevi_876_7_38,Prodigal:2.6,CDS,1825,2637,ID=IIFCLKFN_07235,eC_number=2.8.3.6,Name=catJ,gene=catJ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF2,locus_tag=IIFCLKFN_07235,product=3-oxoadipate CoA-transferase subunit B,NA
Brevi_876_7_39,Prodigal:2.6,CDS,16035,16457,ID=IIFCLKFN_07258,eC_number=2.-.-.-,Name=moaE2_5,dbxref=COG:COG0314,gene=moaE2_5,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=IIFCLKFN_07258,product=Molybdopterin synthase catalytic subunit 2
Brevi_876_7_39,Aragorn:1.2,tRNA,32699,32775,ID=IIFCLKFN_07275,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=IIFCLKFN_07275,product=tRNA-Met(cat),NA,NA,NA,NA
