Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Brachy_341_9.fa,Brachy_738_10.fa,Brachy_862_8.fa,Brachy_876_9.fa,Brachy_900_8.fa,Brachy_908_11.fa,Brachy_947_11.fa,Brachy_962_10.fa,Brachy_JB7.fa,Brevi_341_13.fa,Brevi_738_8.fa,Brevi_862_7.fa,Brevi_876_7.fa,Brevi_900_6.fa,Brevi_908_7.fa,Brevi_947_7.fa,Brevi_962_8.fa,Brevi_JB5.fa,SEQ_341_10.fa,SEQ_738_7.fa,SEQ_862_5.fa,SEQ_876_5.fa,SEQ_900_4.fa,SEQ_908_10.fa,SEQ_947_12.fa,SEQ_962_6.fa,SEQ_JB9.fa
group_5680,gltX,Glutamate--tRNA ligase,9,9,1,1,6023,1,2628,,1529,1529,1529,Brachy_341_9.fa_02274,Brachy_738_10.fa_00872,Brachy_862_8.fa_00762,Brachy_876_9.fa_01324,Brachy_900_8.fa_02345,Brachy_908_11.fa_02110,Brachy_947_11.fa_02747,Brachy_962_10.fa_00508,Brachy_JB7.fa_03225,,,,,,,,,,,,,,,,,,
group_5681,,Universal stress protein,9,9,1,1,6024,1,2627,,788,788,788,Brachy_341_9.fa_02278,Brachy_738_10.fa_00876,Brachy_862_8.fa_00758,Brachy_876_9.fa_01328,Brachy_900_8.fa_02341,Brachy_908_11.fa_02106,Brachy_947_11.fa_02743,Brachy_962_10.fa_00504,Brachy_JB7.fa_03221,,,,,,,,,,,,,,,,,,
srpS,,HTH-type transcriptional regulator SrpS,9,9,1,1,6025,1,2626,,734,734,734,Brachy_341_9.fa_02279,Brachy_738_10.fa_00877,Brachy_862_8.fa_00757,Brachy_876_9.fa_01329,Brachy_900_8.fa_02340,Brachy_908_11.fa_02105,Brachy_947_11.fa_02742,Brachy_962_10.fa_00503,Brachy_JB7.fa_03220,,,,,,,,,,,,,,,,,,
leuC_2,,3-isopropylmalate dehydratase large subunit,9,9,1,1,6026,1,2625,,1439,1439,1439,Brachy_341_9.fa_02280,Brachy_738_10.fa_00878,Brachy_862_8.fa_00756,Brachy_876_9.fa_01330,Brachy_900_8.fa_02339,Brachy_908_11.fa_02104,Brachy_947_11.fa_02741,Brachy_962_10.fa_00502,Brachy_JB7.fa_03219,,,,,,,,,,,,,,,,,,
leuD,,3-isopropylmalate dehydratase small subunit,9,9,1,1,6027,1,2624,,614,614,614,Brachy_341_9.fa_02281,Brachy_738_10.fa_00879,Brachy_862_8.fa_00755,Brachy_876_9.fa_01331,Brachy_900_8.fa_02338,Brachy_908_11.fa_02103,Brachy_947_11.fa_02740,Brachy_962_10.fa_00501,Brachy_JB7.fa_03218,,,,,,,,,,,,,,,,,,
group_5685,murA1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1,9,9,1,1,6028,1,2623,,1316,1316,1316,Brachy_341_9.fa_02282,Brachy_738_10.fa_00880,Brachy_862_8.fa_00754,Brachy_876_9.fa_01332,Brachy_900_8.fa_02337,Brachy_908_11.fa_02102,Brachy_947_11.fa_02739,Brachy_962_10.fa_00500,Brachy_JB7.fa_03217,,,,,,,,,,,,,,,,,,
group_5686,,hypothetical protein,9,9,1,1,6029,1,2622,,590,590,590,Brachy_341_9.fa_02283,Brachy_738_10.fa_00881,Brachy_862_8.fa_00753,Brachy_876_9.fa_01333,Brachy_900_8.fa_02336,Brachy_908_11.fa_02101,Brachy_947_11.fa_02738,Brachy_962_10.fa_00499,Brachy_JB7.fa_03216,,,,,,,,,,,,,,,,,,
plsC_1,,1-acyl-sn-glycerol-3-phosphate acyltransferase,9,9,1,1,6030,1,2621,,803,803,803,Brachy_341_9.fa_02284,Brachy_738_10.fa_00882,Brachy_862_8.fa_00752,Brachy_876_9.fa_01334,Brachy_900_8.fa_02335,Brachy_908_11.fa_02100,Brachy_947_11.fa_02737,Brachy_962_10.fa_00498,Brachy_JB7.fa_03215,,,,,,,,,,,,,,,,,,
gpsA,,Glycerol-3-phosphate dehydrogenase [NAD(P)+],9,9,1,1,6031,1,2620,,989,989,989,Brachy_341_9.fa_02285,Brachy_738_10.fa_00883,Brachy_862_8.fa_00751,Brachy_876_9.fa_01335,Brachy_900_8.fa_02334,Brachy_908_11.fa_02099,Brachy_947_11.fa_02736,Brachy_962_10.fa_00497,Brachy_JB7.fa_03214,,,,,,,,,,,,,,,,,,
ddl,,D-alanine--D-alanine ligase,9,9,1,1,6032,1,2619,,1115,1115,1115,Brachy_341_9.fa_02286,Brachy_738_10.fa_00884,Brachy_862_8.fa_00750,Brachy_876_9.fa_01336,Brachy_900_8.fa_02333,Brachy_908_11.fa_02098,Brachy_947_11.fa_02735,Brachy_962_10.fa_00496,Brachy_JB7.fa_03213,,,,,,,,,,,,,,,,,,
gtf2_1,,Glycosyltransferase-stabilizing protein Gtf2,9,9,1,97,3062,97,3652,,866,1322,1271,,,,,,,,,,,,,,,,,,,SEQ_341_10.fa_02469,SEQ_738_7.fa_01465,SEQ_862_5.fa_01910,SEQ_876_5.fa_02573,SEQ_900_4.fa_01606,SEQ_908_10.fa_02561,SEQ_947_12.fa_02683,SEQ_962_6.fa_00806,SEQ_BC9.fa_02701
group_5690,,hypothetical protein,9,9,1,1,6033,1,2618,,494,494,494,Brachy_341_9.fa_02287,Brachy_738_10.fa_00885,Brachy_862_8.fa_00749,Brachy_876_9.fa_01337,Brachy_900_8.fa_02332,Brachy_908_11.fa_02097,Brachy_947_11.fa_02734,Brachy_962_10.fa_00495,Brachy_JB7.fa_03212,,,,,,,,,,,,,,,,,,
group_5691,thiL,Thiamine-monophosphate kinase,9,9,1,1,6034,1,2617,,998,998,998,Brachy_341_9.fa_02288,Brachy_738_10.fa_00886,Brachy_862_8.fa_00748,Brachy_876_9.fa_01338,Brachy_900_8.fa_02331,Brachy_908_11.fa_02096,Brachy_947_11.fa_02733,Brachy_962_10.fa_00494,Brachy_JB7.fa_03211,,,,,,,,,,,,,,,,,,
adhA_2,,putative formaldehyde dehydrogenase AdhA,9,9,1,1,6035,1,2616,,1076,1076,1076,Brachy_341_9.fa_02289,Brachy_738_10.fa_00887,Brachy_862_8.fa_00747,Brachy_876_9.fa_01339,Brachy_900_8.fa_02330,Brachy_908_11.fa_02095,Brachy_947_11.fa_02732,Brachy_962_10.fa_00493,Brachy_JB7.fa_03210,,,,,,,,,,,,,,,,,,
group_5693,,hypothetical protein,9,9,1,1,6036,1,2615,,746,746,746,Brachy_341_9.fa_02290,Brachy_738_10.fa_00888,Brachy_862_8.fa_00746,Brachy_876_9.fa_01340,Brachy_900_8.fa_02329,Brachy_908_11.fa_02094,Brachy_947_11.fa_02731,Brachy_962_10.fa_00492,Brachy_JB7.fa_03209,,,,,,,,,,,,,,,,,,
rpmB_1,,50S ribosomal protein L28,9,9,1,1,6037,1,2614,,197,197,197,Brachy_341_9.fa_02291,Brachy_738_10.fa_00889,Brachy_862_8.fa_00745,Brachy_876_9.fa_01341,Brachy_900_8.fa_02328,Brachy_908_11.fa_02093,Brachy_947_11.fa_02730,Brachy_962_10.fa_00491,Brachy_JB7.fa_03208,,,,,,,,,,,,,,,,,,
group_5695,recG,ATP-dependent DNA helicase RecG,9,9,1,1,6038,1,2613,,2213,2213,2213,Brachy_341_9.fa_02292,Brachy_738_10.fa_00890,Brachy_862_8.fa_00744,Brachy_876_9.fa_01342,Brachy_900_8.fa_02327,Brachy_908_11.fa_02092,Brachy_947_11.fa_02729,Brachy_962_10.fa_00490,Brachy_JB7.fa_03207,,,,,,,,,,,,,,,,,,
rsmD,,Ribosomal RNA small subunit methyltransferase D,9,9,1,1,6039,1,2612,,602,614,612,Brachy_341_9.fa_02293,Brachy_738_10.fa_00891,Brachy_862_8.fa_00743,Brachy_876_9.fa_01343,Brachy_900_8.fa_02326,Brachy_908_11.fa_02091,Brachy_947_11.fa_02728,Brachy_962_10.fa_00489,Brachy_JB7.fa_03206,,,,,,,,,,,,,,,,,,
group_5697,,hypothetical protein,9,9,1,1,6040,1,2611,,572,572,572,Brachy_341_9.fa_02294,Brachy_738_10.fa_00892,Brachy_862_8.fa_00742,Brachy_876_9.fa_01344,Brachy_900_8.fa_02325,Brachy_908_11.fa_02090,Brachy_947_11.fa_02727,Brachy_962_10.fa_00488,Brachy_JB7.fa_03205,,,,,,,,,,,,,,,,,,
group_5698,,hypothetical protein,9,9,1,1,6041,1,2610,,380,380,380,Brachy_341_9.fa_02295,Brachy_738_10.fa_00893,Brachy_862_8.fa_00741,Brachy_876_9.fa_01345,Brachy_900_8.fa_02324,Brachy_908_11.fa_02089,Brachy_947_11.fa_02726,Brachy_962_10.fa_00487,Brachy_JB7.fa_03204,,,,,,,,,,,,,,,,,,
group_5699,coaD,Phosphopantetheine adenylyltransferase,9,9,1,1,6042,1,2609,,491,491,491,Brachy_341_9.fa_02296,Brachy_738_10.fa_00894,Brachy_862_8.fa_00740,Brachy_876_9.fa_01346,Brachy_900_8.fa_02323,Brachy_908_11.fa_02088,Brachy_947_11.fa_02725,Brachy_962_10.fa_00486,Brachy_JB7.fa_03203,,,,,,,,,,,,,,,,,,
group_5700,,putative protein,9,9,1,1,6043,1,2608,,617,617,617,Brachy_341_9.fa_02297,Brachy_738_10.fa_00895,Brachy_862_8.fa_00739,Brachy_876_9.fa_01347,Brachy_900_8.fa_02322,Brachy_908_11.fa_02087,Brachy_947_11.fa_02724,Brachy_962_10.fa_00485,Brachy_JB7.fa_03202,,,,,,,,,,,,,,,,,,
rnc,,Ribonuclease 3,9,9,1,1,6044,1,2607,,752,752,752,Brachy_341_9.fa_02298,Brachy_738_10.fa_00896,Brachy_862_8.fa_00738,Brachy_876_9.fa_01348,Brachy_900_8.fa_02321,Brachy_908_11.fa_02086,Brachy_947_11.fa_02723,Brachy_962_10.fa_00484,Brachy_JB7.fa_03201,,,,,,,,,,,,,,,,,,
devR,,DNA-binding transcriptional activator DevR/DosR,9,9,1,1,6046,1,2603,,632,632,632,Brachy_341_9.fa_02300,Brachy_738_10.fa_00908,Brachy_862_8.fa_00736,Brachy_876_9.fa_01350,Brachy_900_8.fa_02319,Brachy_908_11.fa_02084,Brachy_947_11.fa_02721,Brachy_962_10.fa_00482,Brachy_JB7.fa_03199,,,,,,,,,,,,,,,,,,
devS,,Oxygen sensor histidine kinase response regulator DevS/DosS,9,9,1,1,6047,1,2602,,1160,1160,1160,Brachy_341_9.fa_02301,Brachy_738_10.fa_00909,Brachy_862_8.fa_00735,Brachy_876_9.fa_01351,Brachy_900_8.fa_02318,Brachy_908_11.fa_02083,Brachy_947_11.fa_02720,Brachy_962_10.fa_00481,Brachy_JB7.fa_03198,,,,,,,,,,,,,,,,,,
group_5705,cydB,Cytochrome bd-I ubiquinol oxidase subunit 2,9,9,1,1,6053,1,2598,,1082,1082,1082,Brachy_341_9.fa_02304,Brachy_738_10.fa_00912,Brachy_862_8.fa_00732,Brachy_876_9.fa_01354,Brachy_900_8.fa_02315,Brachy_908_11.fa_02080,Brachy_947_11.fa_02717,Brachy_962_10.fa_00478,Brachy_JB7.fa_01595,,,,,,,,,,,,,,,,,,
cydA,,Cytochrome bd ubiquinol oxidase subunit 1,9,9,1,1,6054,1,2595,,1556,1556,1556,Brachy_341_9.fa_02305,Brachy_738_10.fa_00913,Brachy_862_8.fa_00731,Brachy_876_9.fa_01355,Brachy_900_8.fa_02314,Brachy_908_11.fa_02079,Brachy_947_11.fa_02716,Brachy_962_10.fa_00477,Brachy_JB7.fa_01594,,,,,,,,,,,,,,,,,,
group_5707,rplU,50S ribosomal protein L21,9,9,1,1,6056,1,2593,,308,308,308,Brachy_341_9.fa_02307,Brachy_738_10.fa_00915,Brachy_862_8.fa_00729,Brachy_876_9.fa_01357,Brachy_900_8.fa_02312,Brachy_908_11.fa_02077,Brachy_947_11.fa_02714,Brachy_962_10.fa_00475,Brachy_JB7.fa_00557,,,,,,,,,,,,,,,,,,
group_5708,rpmA,50S ribosomal protein L27,9,9,1,1,6057,1,2592,,254,254,254,Brachy_341_9.fa_02308,Brachy_738_10.fa_00916,Brachy_862_8.fa_00728,Brachy_876_9.fa_01358,Brachy_900_8.fa_02311,Brachy_908_11.fa_02076,Brachy_947_11.fa_02713,Brachy_962_10.fa_00474,Brachy_JB7.fa_00558,,,,,,,,,,,,,,,,,,
group_5709,obg,GTPase Obg,9,9,1,1,6059,1,2591,,1535,1535,1535,Brachy_341_9.fa_02309,Brachy_738_10.fa_00917,Brachy_862_8.fa_00727,Brachy_876_9.fa_01359,Brachy_900_8.fa_02310,Brachy_908_11.fa_02075,Brachy_947_11.fa_02712,Brachy_962_10.fa_00473,Brachy_JB7.fa_00559,,,,,,,,,,,,,,,,,,
proA,,Gamma-glutamyl phosphate reductase,9,9,1,1,6061,1,2588,,1271,1271,1271,Brachy_341_9.fa_02311,Brachy_738_10.fa_00919,Brachy_862_8.fa_00725,Brachy_876_9.fa_01361,Brachy_900_8.fa_02308,Brachy_908_11.fa_02073,Brachy_947_11.fa_02710,Brachy_962_10.fa_00471,Brachy_JB7.fa_01431,,,,,,,,,,,,,,,,,,
group_5711,,hypothetical protein,9,9,1,1,6062,1,2587,,185,185,185,Brachy_341_9.fa_02312,Brachy_738_10.fa_00920,Brachy_862_8.fa_00724,Brachy_876_9.fa_01362,Brachy_900_8.fa_02307,Brachy_908_11.fa_02072,Brachy_947_11.fa_02709,Brachy_962_10.fa_00470,Brachy_JB7.fa_01432,,,,,,,,,,,,,,,,,,
nadD,,putative nicotinate-nucleotide adenylyltransferase,9,9,1,1,6063,1,2586,,578,578,578,Brachy_341_9.fa_02313,Brachy_738_10.fa_00921,Brachy_862_8.fa_00723,Brachy_876_9.fa_01363,Brachy_900_8.fa_02306,Brachy_908_11.fa_02071,Brachy_947_11.fa_02708,Brachy_962_10.fa_00469,Brachy_JB7.fa_01433,,,,,,,,,,,,,,,,,,
group_5713,,hypothetical protein,9,9,1,1,6064,1,2585,,701,701,701,Brachy_341_9.fa_02314,Brachy_738_10.fa_00922,Brachy_862_8.fa_00722,Brachy_876_9.fa_01364,Brachy_900_8.fa_02305,Brachy_908_11.fa_02070,Brachy_947_11.fa_02707,Brachy_962_10.fa_00468,Brachy_JB7.fa_01434,,,,,,,,,,,,,,,,,,
rsfS,,Ribosomal silencing factor RsfS,9,9,1,1,6065,1,2584,,377,377,377,Brachy_341_9.fa_02315,Brachy_738_10.fa_00923,Brachy_862_8.fa_00721,Brachy_876_9.fa_01365,Brachy_900_8.fa_02304,Brachy_908_11.fa_02069,Brachy_947_11.fa_02706,Brachy_962_10.fa_00467,Brachy_JB7.fa_01435,,,,,,,,,,,,,,,,,,
pspA_1,,Phosphoserine phosphatase 1,9,9,1,1,6066,1,2583,,653,653,653,Brachy_341_9.fa_02316,Brachy_738_10.fa_00924,Brachy_862_8.fa_00720,Brachy_876_9.fa_01366,Brachy_900_8.fa_02303,Brachy_908_11.fa_02068,Brachy_947_11.fa_02705,Brachy_962_10.fa_00466,Brachy_JB7.fa_01436,,,,,,,,,,,,,,,,,,
group_5716,,tRNA-Ala(ggc),9,9,1,1,6067,1,2582,,73,73,73,Brachy_341_9.fa_02317,Brachy_738_10.fa_00925,Brachy_862_8.fa_00719,Brachy_876_9.fa_01367,Brachy_900_8.fa_02302,Brachy_908_11.fa_02067,Brachy_947_11.fa_02704,Brachy_962_10.fa_00465,Brachy_JB7.fa_01437,,,,,,,,,,,,,,,,,,
zosA,,Zinc-transporting ATPase,9,9,1,97,3600,97,845,,1052,1883,1698,,,,,,,,,,,,,,,,,,,SEQ_341_10.fa_02674,SEQ_738_7.fa_02906,SEQ_862_5.fa_02120,SEQ_876_5.fa_02798,SEQ_900_4.fa_02523,SEQ_908_10.fa_02914,SEQ_947_12.fa_02871,SEQ_962_6.fa_01787,SEQ_BC9.fa_00060
dctA2,,C4-dicarboxylate transport protein 2,9,9,1,1,3727,1,6186,,1268,1268,1268,Brachy_341_9.fa_02363,Brachy_738_10.fa_01478,Brachy_862_8.fa_00345,Brachy_876_9.fa_01717,Brachy_900_8.fa_00925,Brachy_908_11.fa_00951,Brachy_947_11.fa_00754,Brachy_962_10.fa_01458,Brachy_JB7.fa_00682,,,,,,,,,,,,,,,,,,
group_5762,czcD,Metal cation efflux system protein CzcD,9,9,1,1,3725,1,6188,,911,911,911,Brachy_341_9.fa_02365,Brachy_738_10.fa_01476,Brachy_862_8.fa_00347,Brachy_876_9.fa_01715,Brachy_900_8.fa_00923,Brachy_908_11.fa_00953,Brachy_947_11.fa_00756,Brachy_962_10.fa_01456,Brachy_JB7.fa_00680,,,,,,,,,,,,,,,,,,
group_5763,,putative oxidoreductase,9,9,1,1,3724,1,6189,,824,824,824,Brachy_341_9.fa_02366,Brachy_738_10.fa_01475,Brachy_862_8.fa_00348,Brachy_876_9.fa_01714,Brachy_900_8.fa_00922,Brachy_908_11.fa_00954,Brachy_947_11.fa_00757,Brachy_962_10.fa_01455,Brachy_JB7.fa_00679,,,,,,,,,,,,,,,,,,
group_5765,ophA1,Phthalate dioxygenase reductase,9,9,1,1,3721,1,6192,,272,272,272,Brachy_341_9.fa_02369,Brachy_738_10.fa_01472,Brachy_862_8.fa_00351,Brachy_876_9.fa_01711,Brachy_900_8.fa_00920,Brachy_908_11.fa_00957,Brachy_947_11.fa_00760,Brachy_962_10.fa_01452,Brachy_JB7.fa_00676,,,,,,,,,,,,,,,,,,
tcrX_2,,putative transcriptional regulatory protein TcrX,9,9,1,1,3719,1,6194,,743,743,743,Brachy_341_9.fa_02371,Brachy_738_10.fa_01470,Brachy_862_8.fa_00353,Brachy_876_9.fa_01709,Brachy_900_8.fa_00918,Brachy_908_11.fa_00959,Brachy_947_11.fa_00762,Brachy_962_10.fa_01450,Brachy_JB7.fa_00674,,,,,,,,,,,,,,,,,,
group_5768,ileS,Isoleucine--tRNA ligase,9,9,1,1,3716,1,6199,,3296,3296,3296,Brachy_341_9.fa_02374,Brachy_738_10.fa_01466,Brachy_862_8.fa_00357,Brachy_876_9.fa_01706,Brachy_900_8.fa_00915,Brachy_908_11.fa_00962,Brachy_947_11.fa_00765,Brachy_962_10.fa_01446,Brachy_JB7.fa_00671,,,,,,,,,,,,,,,,,,
group_5769,folC,Dihydrofolate synthase/folylpolyglutamate synthase,9,9,1,1,3714,1,6201,,1388,1388,1388,Brachy_341_9.fa_02376,Brachy_738_10.fa_01464,Brachy_862_8.fa_00359,Brachy_876_9.fa_01704,Brachy_900_8.fa_00913,Brachy_908_11.fa_00964,Brachy_947_11.fa_00767,Brachy_962_10.fa_01444,Brachy_JB7.fa_00669,,,,,,,,,,,,,,,,,,
group_5770,,hypothetical protein,9,9,1,1,3713,1,6202,,419,419,419,Brachy_341_9.fa_02377,Brachy_738_10.fa_01463,Brachy_862_8.fa_00360,Brachy_876_9.fa_01703,Brachy_900_8.fa_00912,Brachy_908_11.fa_00965,Brachy_947_11.fa_00768,Brachy_962_10.fa_01443,Brachy_JB7.fa_00668,,,,,,,,,,,,,,,,,,
ndkA,,Nucleoside diphosphate kinase,9,9,1,1,3712,1,6203,,425,425,425,Brachy_341_9.fa_02378,Brachy_738_10.fa_01462,Brachy_862_8.fa_00361,Brachy_876_9.fa_01702,Brachy_900_8.fa_00911,Brachy_908_11.fa_00966,Brachy_947_11.fa_00769,Brachy_962_10.fa_01442,Brachy_JB7.fa_00667,,,,,,,,,,,,,,,,,,
group_5772,amt,Ammonia channel,9,9,1,1,3710,1,6205,,1418,1418,1418,Brachy_341_9.fa_02380,Brachy_738_10.fa_01460,Brachy_862_8.fa_00363,Brachy_876_9.fa_01700,Brachy_900_8.fa_00909,Brachy_908_11.fa_00968,Brachy_947_11.fa_00771,Brachy_962_10.fa_01440,Brachy_JB7.fa_00664,,,,,,,,,,,,,,,,,,
glnB,,Nitrogen regulatory protein P-II,9,9,1,1,3709,1,6206,,338,338,338,Brachy_341_9.fa_02381,Brachy_738_10.fa_01459,Brachy_862_8.fa_00364,Brachy_876_9.fa_01699,Brachy_900_8.fa_00908,Brachy_908_11.fa_00969,Brachy_947_11.fa_00772,Brachy_962_10.fa_01439,Brachy_JB7.fa_00663,,,,,,,,,,,,,,,,,,
glnD,,Bifunctional uridylyltransferase/uridylyl-removing enzyme,9,9,1,1,3708,1,6207,,2345,2345,2345,Brachy_341_9.fa_02382,Brachy_738_10.fa_01458,Brachy_862_8.fa_00365,Brachy_876_9.fa_01698,Brachy_900_8.fa_00907,Brachy_908_11.fa_00970,Brachy_947_11.fa_00773,Brachy_962_10.fa_01438,Brachy_JB7.fa_00662,,,,,,,,,,,,,,,,,,
ffh,,Signal recognition particle protein,9,9,1,1,3707,1,6208,,1655,1655,1655,Brachy_341_9.fa_02383,Brachy_738_10.fa_01457,Brachy_862_8.fa_00366,Brachy_876_9.fa_01697,Brachy_900_8.fa_00906,Brachy_908_11.fa_00971,Brachy_947_11.fa_00774,Brachy_962_10.fa_01437,Brachy_JB7.fa_00661,,,,,,,,,,,,,,,,,,
group_5776,,hypothetical protein,9,9,1,1,3703,1,6211,,242,242,242,Brachy_341_9.fa_02386,Brachy_738_10.fa_01454,Brachy_862_8.fa_00369,Brachy_876_9.fa_01694,Brachy_900_8.fa_00902,Brachy_908_11.fa_00975,Brachy_947_11.fa_00777,Brachy_962_10.fa_01434,Brachy_JB7.fa_00658,,,,,,,,,,,,,,,,,,
rimM,,Ribosome maturation factor RimM,9,9,1,1,3702,1,6212,,587,587,587,Brachy_341_9.fa_02387,Brachy_738_10.fa_01453,Brachy_862_8.fa_00370,Brachy_876_9.fa_01693,Brachy_900_8.fa_00901,Brachy_908_11.fa_00976,Brachy_947_11.fa_00778,Brachy_962_10.fa_01433,Brachy_JB7.fa_00657,,,,,,,,,,,,,,,,,,
trmD,,tRNA (guanine-N(1)-)-methyltransferase,9,9,1,1,3701,1,6213,,740,740,740,Brachy_341_9.fa_02388,Brachy_738_10.fa_01452,Brachy_862_8.fa_00371,Brachy_876_9.fa_01692,Brachy_900_8.fa_00900,Brachy_908_11.fa_00977,Brachy_947_11.fa_00779,Brachy_962_10.fa_01432,Brachy_JB7.fa_00656,,,,,,,,,,,,,,,,,,
group_5779,rplS,50S ribosomal protein L19,9,9,1,1,3700,1,6214,,350,350,350,Brachy_341_9.fa_02389,Brachy_738_10.fa_01451,Brachy_862_8.fa_00372,Brachy_876_9.fa_01691,Brachy_900_8.fa_00899,Brachy_908_11.fa_00978,Brachy_947_11.fa_00780,Brachy_962_10.fa_01431,Brachy_JB7.fa_00655,,,,,,,,,,,,,,,,,,
lepB_2,,Signal peptidase I,9,9,1,1,3699,1,6215,,536,536,536,Brachy_341_9.fa_02390,Brachy_738_10.fa_01450,Brachy_862_8.fa_00373,Brachy_876_9.fa_01690,Brachy_900_8.fa_00898,Brachy_908_11.fa_00979,Brachy_947_11.fa_00781,Brachy_962_10.fa_01430,Brachy_JB7.fa_00654,,,,,,,,,,,,,,,,,,
rnhB,,Ribonuclease HII,9,9,1,1,3697,1,6217,,818,818,818,Brachy_341_9.fa_02392,Brachy_738_10.fa_01448,Brachy_862_8.fa_00375,Brachy_876_9.fa_01688,Brachy_900_8.fa_00896,Brachy_908_11.fa_00981,Brachy_947_11.fa_00783,Brachy_962_10.fa_01428,Brachy_JB7.fa_00652,,,,,,,,,,,,,,,,,,
group_5782,,putative protein,9,9,1,1,3696,1,6218,,302,302,302,Brachy_341_9.fa_02393,Brachy_738_10.fa_01447,Brachy_862_8.fa_00376,Brachy_876_9.fa_01687,Brachy_900_8.fa_00895,Brachy_908_11.fa_00982,Brachy_947_11.fa_00784,Brachy_962_10.fa_01427,Brachy_JB7.fa_00651,,,,,,,,,,,,,,,,,,
group_5783,,hypothetical protein,9,9,1,1,3695,1,6219,,422,422,422,Brachy_341_9.fa_02394,Brachy_738_10.fa_01446,Brachy_862_8.fa_00377,Brachy_876_9.fa_01686,Brachy_900_8.fa_00894,Brachy_908_11.fa_00983,Brachy_947_11.fa_00785,Brachy_962_10.fa_01426,Brachy_JB7.fa_00650,,,,,,,,,,,,,,,,,,
comM,,Competence protein ComM,9,9,1,1,3694,1,6220,,1538,1538,1538,Brachy_341_9.fa_02395,Brachy_738_10.fa_01445,Brachy_862_8.fa_00378,Brachy_876_9.fa_01685,Brachy_900_8.fa_00893,Brachy_908_11.fa_00984,Brachy_947_11.fa_00786,Brachy_962_10.fa_01425,Brachy_JB7.fa_00649,,,,,,,,,,,,,,,,,,
group_5785,xerC_1,Tyrosine recombinase XerC,9,9,1,1,3692,1,6222,,953,953,953,Brachy_341_9.fa_02397,Brachy_738_10.fa_01443,Brachy_862_8.fa_00380,Brachy_876_9.fa_01683,Brachy_900_8.fa_00891,Brachy_908_11.fa_00986,Brachy_947_11.fa_00788,Brachy_962_10.fa_01423,Brachy_JB7.fa_00647,,,,,,,,,,,,,,,,,,
rpsB,,30S ribosomal protein S2,9,9,1,1,3690,1,6224,,932,932,932,Brachy_341_9.fa_02399,Brachy_738_10.fa_01441,Brachy_862_8.fa_00382,Brachy_876_9.fa_01681,Brachy_900_8.fa_00889,Brachy_908_11.fa_00988,Brachy_947_11.fa_00790,Brachy_962_10.fa_01421,Brachy_JB7.fa_00645,,,,,,,,,,,,,,,,,,
group_5787,tsf,Elongation factor Ts,9,9,1,1,3689,1,6225,,833,833,833,Brachy_341_9.fa_02400,Brachy_738_10.fa_01440,Brachy_862_8.fa_00383,Brachy_876_9.fa_01680,Brachy_900_8.fa_00888,Brachy_908_11.fa_00989,Brachy_947_11.fa_00791,Brachy_962_10.fa_01420,Brachy_JB7.fa_00644,,,,,,,,,,,,,,,,,,
group_5788,pyrH,Uridylate kinase,9,9,1,1,3688,1,6226,,755,755,755,Brachy_341_9.fa_02401,Brachy_738_10.fa_01439,Brachy_862_8.fa_00384,Brachy_876_9.fa_01679,Brachy_900_8.fa_00887,Brachy_908_11.fa_00990,Brachy_947_11.fa_00792,Brachy_962_10.fa_01419,Brachy_JB7.fa_00643,,,,,,,,,,,,,,,,,,
cdsA,,Phosphatidate cytidylyltransferase,9,9,1,1,3686,1,6228,,875,875,875,Brachy_341_9.fa_02403,Brachy_738_10.fa_01437,Brachy_862_8.fa_00386,Brachy_876_9.fa_01677,Brachy_900_8.fa_00885,Brachy_908_11.fa_00992,Brachy_947_11.fa_00794,Brachy_962_10.fa_01417,Brachy_JB7.fa_00641,,,,,,,,,,,,,,,,,,
group_5790,rlmN,putative dual-specificity RNA methyltransferase RlmN,9,9,1,1,3685,1,6229,,1283,1283,1283,Brachy_341_9.fa_02404,Brachy_738_10.fa_01436,Brachy_862_8.fa_00387,Brachy_876_9.fa_01676,Brachy_900_8.fa_00884,Brachy_908_11.fa_00993,Brachy_947_11.fa_00795,Brachy_962_10.fa_01416,Brachy_JB7.fa_00640,,,,,,,,,,,,,,,,,,
group_5791,gpsB,Cell cycle protein GpsB,9,9,1,1,3684,1,6230,,548,548,548,Brachy_341_9.fa_02405,Brachy_738_10.fa_01435,Brachy_862_8.fa_00388,Brachy_876_9.fa_01675,Brachy_900_8.fa_00883,Brachy_908_11.fa_00994,Brachy_947_11.fa_00796,Brachy_962_10.fa_01415,Brachy_JB7.fa_00639,,,,,,,,,,,,,,,,,,
dxr,,1-deoxy-D-xylulose 5-phosphate reductoisomerase,9,9,1,1,3683,1,6231,,1208,1208,1208,Brachy_341_9.fa_02406,Brachy_738_10.fa_01434,Brachy_862_8.fa_00389,Brachy_876_9.fa_01674,Brachy_900_8.fa_00882,Brachy_908_11.fa_00995,Brachy_947_11.fa_00797,Brachy_962_10.fa_01414,Brachy_JB7.fa_00638,,,,,,,,,,,,,,,,,,
